230.4132;112.2512;138.4981
322.4891;78.2793;198.1288
274.4010;456.1804;20.8603
157.1645;34.7157;461.3193
199.2464;141.1990;215.1759
125.8046;155.7931;769.3915
267.6191;497.6291;482.7800
398.2002;407.0283;34.7925
382.0442;137.3279;317.4405
160.7542;51.4859;42.7229
366.7474;383.5820;414.9563
61.8726;16.9420;133.8522
131.4253;714.5724;577.6217
207.3869;503.9333;28.3027
255.9473;206.5742;497.4128
209.5860;645.3587;660.8087
154.6941;179.7303;13.7181
247.1294;737.6777;36.0353
265.5750;143.0672;435.5230
361.4916;167.0661;88.2325
98.1730;285.4381;302.6198
193.8593;633.4685;23.2416
210.9708;99.2351;441.1168
132.0151;385.1117;481.6671
371.3396;14.4893;356.0693
352.7611;346.3377;56.6316
11.7438;444.7745;371.3697
7.7408;745.6818;158.5520
6.9056;251.2330;417.6825
129.8822;248.0577;243.8001
199.5210;171.9511;722.8919
400.0723;509.3840;485.0100
304.4473;281.8634;303.7589
32.9990;425.2394;239.1002
115.5854;225.3595;603.1168
3.5030;613.9663;649.6957
99.1211;752.7932;347.6154
317.3796;499.2276;247.5392
179.9258;697.0551;538.5166
262.9202;653.9080;407.0829
186.3050;345.0729;535.6130
15.2261;174.4981;702.0629
185.9856;495.7663;250.7255
348.4747;783.4976;497.7605
400.8261;602.1431;576.1617
349.5382;110.8764;463.8419
376.4264;128.3162;457.7783
99.7410;519.7902;177.6546
163.5156;743.9977;362.7982
66.4659;282.5950;125.2172
273.6240;243.0306;89.1444
26.0901;54.8443;362.5016
271.0185;412.8759;664.6917
148.5963;68.1801;193.5156
230.9011;320.6004;195.9053
307.6613;65.3016;674.8034
295.8507;8.9187;636.5307
337.0699;773.6820;370.9328
194.9594;544.1599;609.1447
44.3334;689.9935;145.7874
157.4630;364.2665;34.7781
165.9137;309.8026;41.8734
224.5113;605.8491;346.0215
359.6689;706.5317;41.5716
170.0929;581.3804;701.5351
284.8773;439.0726;727.6468
390.3904;676.6652;260.2773
187.4601;591.4421;603.2933
349.0247;380.5323;442.1223
114.1479;395.8486;676.2590
377.1129;558.5478;607.8506
135.5967;48.5762;385.2595
237.3573;453.2420;722.4490
41.3872;434.5385;243.5065
115.7043;406.9610;697.3915
378.1600;593.2163;566.5696
100.6357;600.2251;682.5627
390.7301;695.3163;101.5755
256.9600;274.7653;184.7329
69.6028;340.0681;396.9059
236.6852;202.4535;596.4650
376.3655;697.1994;509.5619
142.1742;601.5913;61.8730
220.4246;515.7613;419.1447
21.4408;388.2052;75.2677
295.2054;374.7461;141.2813
52.8244;562.9774;763.0795
177.5798;439.5532;620.8404
147.5270;222.5222;135.3840
372.8658;102.3251;317.4115
24.1664;681.7237;492.9477
281.7749;695.6560;414.4172
63.7148;665.9112;385.3215
248.0091;660.9711;195.5475
388.8417;506.9490;406.8769
1.9384;523.2944;789.2192
307.3729;544.8460;773.1169
266.8319;213.3811;597.7380
249.2263;327.6882;559.0830
111.6601;193.2245;155.7458
